NHÓM NGÀNH ;;;;;;;;;
STT;Tên NCC;Hạng mục;Website;Người liên hệ;Group Zalo;Sản phẩm NCC;Thương hiệu phân phối;Sản phẩm chi tiết;Ghi chú
37;CNTT shop - Việt Thái Dương;Điện nhẹ ELV;https://cnttshop.vn/;Ms. Huyền;CNTT shop - Easynet - Việt Thái Dương;Thiết bị mạng, Thiết bị lưu trữ, Phụ kiện máy chủ, Phụ kiện mạng;CISCO, ARUBA, HPE, DELL;Máy chủ, server, Aruba, Unifi;
38;Dakia;Điện nhẹ ELV;https://dakiatech.com/;;Dakia - Easynet;Bộ lưu điện, Ắc quy;INVT, DELTA, ARES;Ắc quy - UPS;
39;Điện Sài Gòn;Cơ điện MEP;;Mr. Thịnh;Điện Sài Gòn - Easynet;Cáp quang, cáp điện, Cáp tín hiệu;;Cáp quang, cáp điện, cáp tín hiệu,..;
40;Hoàng Đạo;Thiết bị CNTT và thiết bị văn phòng;https://zodiac.com.vn/;;Hoàng Đạo - Easynet;Máy chiếu, sản phẩm trình chiếu, hệ thống đèn, màn hình tương tác;Maxell;Máy chiếu;
41;Sam Phú;Điện nhẹ ELV;https://samphu.vn/;Ms. Hiền;KẾT NỐI MẠNG SÁNG TẠO - SAM PHÚ;Ống nhựa, Ống luồn, Nẹp ống;Sam Phú;Ống HDPE và phụ kiện;
42;Minh Thái;Thiết bị gia dụng;http://minhthaico.com/;Mr. Ninh Thái;Minh Thái - Easynet;Điện tử, Điện lạnh, Tivi, Phụ kiện;"LG
SAMSUNG";TIVI , tủ lạnh, …;
43;Phúc Khang;Thiết bị CNTT và thiết bị văn phòng;https://pkcomputer.vn/;Mr. Đức;Phúc Khang -Easynet;PC, Laptop, Linh kiện máy tính, Linh kiện mạng;ACER, DELL, LEXAR, INTEL;PC, Laptop, Server, SoftWare ;
44;Quang Lâm;Điện nhẹ ELV;https://www.wintop.com.vn/;;Quang Lâm - Easynet;Thiết bị truyền dẫn, Thiết bị mạng, Thiết bị đo;;"Cáp mạng, truyền dẫn
Thiết bị mạng: Switch, Router,…
Thiết bị triển khai điện nhẹ: Máy đo, máy kéo cáp, Máy in,…
Thiết bị nguồn và phụ kiện điện nhẹ";
45;Sinh Minh;Điện nhẹ ELV;https://sinhminh.com.vn/;Ms. Hồng Đức;SMT - EASYNET;"Camera & An ninh
Âm thanh thông báo
Kiểm soát ra vào
Tháp giải nhiệt";BOSCH;Loa Bosch-TOA;
46;Ngọc Minh;Điện nhẹ ELV;https://ngocminhec.com.vn/;;Máng cáp Ngọc Minh;Máng cáp điện, Khay cáp điện, Phụ kiện kèm theo;;SX máng cáp và phụ kiện theo yêu cầu;
